county,state,state_abbrev,url,jail_name,jail_id,scrape_system,discovered_date,status_code,indicators_found
Benton,AR,AR,https://benton-so-ar.zuercherportal.com/#/,Benton County AR Jail,benton-so-ar,zuercherportal,2025-07-27,200,['portal']
Pulaski,AR,AR,https://pulaski-so-ar.zuercherportal.com/#/,Pulaski County AR Jail,pulaski-so-ar,zuercherportal,2025-07-27,200,['portal']
Sutter,CA,CA,https://sutter-so-ca.zuercherportal.com/#/,Sutter County CA Jail,sutter-so-ca,zuercherportal,2025-07-27,200,['portal']
Gilpin,CO,CO,https://gilpin-so-co.zuercherportal.com/#/,Gilpin County CO Jail,gilpin-so-co,zuercherportal,2025-07-27,200,['portal']
Catoosa,GA,GA,https://catoosa-so-ga.zuercherportal.com/#/,Catoosa County GA Jail,catoosa-so-ga,zuercherportal,2025-07-27,200,['portal']
Douglas,GA,GA,https://douglas-so-ga.zuercherportal.com/#/,Douglas County GA Jail,douglas-so-ga,zuercherportal,2025-07-27,200,['portal']
Floyd,GA,GA,https://floyd-so-ga.zuercherportal.com/#/,Floyd County GA Jail,floyd-so-ga,zuercherportal,2025-07-27,200,['portal']
Houston,GA,GA,https://houston-so-ga.zuercherportal.com/#/,Houston County GA Jail,houston-so-ga,zuercherportal,2025-07-27,200,['portal']
Lumpkin,GA,GA,https://lumpkin-so-ga.zuercherportal.com/#/,Lumpkin County GA Jail,lumpkin-so-ga,zuercherportal,2025-07-27,200,['portal']
Toombs,GA,GA,https://toombs-so-ga.zuercherportal.com/#/,Toombs County GA Jail,toombs-so-ga,zuercherportal,2025-07-27,200,['portal']
Clearwater,ID,ID,https://clearwater-so-id.zuercherportal.com/#/,Clearwater County ID Jail,clearwater-so-id,zuercherportal,2025-07-27,200,['portal']
Washington,ID,ID,https://washington-so-id.zuercherportal.com/#/,Washington County ID Jail,washington-so-id,zuercherportal,2025-07-27,200,['portal']
Iroquois,IL,IL,https://iroquois-so-il.zuercherportal.com/#/,Iroquois County IL Jail,iroquois-so-il,zuercherportal,2025-07-27,200,['portal']
Ogle,IL,IL,https://ogle-so-il.zuercherportal.com/#/,Ogle County IL Jail,ogle-so-il,zuercherportal,2025-07-27,200,['portal']
Whiteside,IL,IL,https://whiteside-so-il.zuercherportal.com/#/,Whiteside County IL Jail,whiteside-so-il,zuercherportal,2025-07-27,200,['portal']
Marshall,IN,IN,https://marshall-so-in.zuercherportal.com/#/,Marshall County IN Jail,marshall-so-in,zuercherportal,2025-07-27,200,['zuercher']
Wayne,IN,IN,https://wayne-so-in.zuercherportal.com/#/,Wayne County IN Jail,wayne-so-in,zuercherportal,2025-07-27,200,['portal']
Clinton,IA,IA,https://clinton-so-ia.zuercherportal.com/#/,Clinton County IA Jail,clinton-so-ia,zuercherportal,2025-07-27,200,['portal']
Marshall,IA,IA,https://marshall-so-ia.zuercherportal.com/#/,Marshall County IA Jail,marshall-so-ia,zuercherportal,2025-07-27,200,['portal']
Pottawattamie,IA,IA,https://pottawattamie-so-ia.zuercherportal.com/#/,Pottawattamie County IA Jail,pottawattamie-so-ia,zuercherportal,2025-07-27,200,['portal']
Poweshiek,IA,IA,https://poweshiek-so-ia.zuercherportal.com/#/,Poweshiek County IA Jail,poweshiek-so-ia,zuercherportal,2025-07-27,200,['portal']
Wapello,IA,IA,https://wapello-so-ia.zuercherportal.com/#/,Wapello County IA Jail,wapello-so-ia,zuercherportal,2025-07-27,200,['portal']
Winneshiek,IA,IA,https://winneshiek-so-ia.zuercherportal.com/#/,Winneshiek County IA Jail,winneshiek-so-ia,zuercherportal,2025-07-27,200,['portal']
Atchison,KS,KS,https://atchison-so-ks.zuercherportal.com/#/,Atchison County KS Jail,atchison-so-ks,zuercherportal,2025-07-27,200,['portal']
Leavenworth,KS,KS,https://leavenworth-so-ks.zuercherportal.com/#/,Leavenworth County KS Jail,leavenworth-so-ks,zuercherportal,2025-07-27,200,['portal']
Linn,KS,KS,https://linn-so-ks.zuercherportal.com/#/,Linn County KS Jail,linn-so-ks,zuercherportal,2025-07-27,200,['portal']
Webster,IA,IA,https://webster-so-ia.zuercherportal.com/#/,Webster County IA Jail,webster-so-ia,zuercherportal,2025-07-27,200,['portal']
Acadia Parish,LA,LA,https://acadia-so-la.zuercherportal.com/#/,Acadia Parish County LA Jail,acadia-so-la,zuercherportal,2025-07-27,200,['portal']
Assumption Parish,LA,LA,https://assumption-so-la.zuercherportal.com/#/,Assumption Parish County LA Jail,assumption-so-la,zuercherportal,2025-07-27,200,['portal']
Bienville Parish,LA,LA,https://bienville-so-la.zuercherportal.com/#/,Bienville Parish County LA Jail,bienville-so-la,zuercherportal,2025-07-27,200,['portal']
Jackson Parish,LA,LA,https://jackson-so-la.zuercherportal.com/#/,Jackson Parish County LA Jail,jackson-so-la,zuercherportal,2025-07-27,200,['portal']
Lafourche Parish,LA,LA,https://lafourche-so-la.zuercherportal.com/#/,Lafourche Parish County LA Jail,lafourche-so-la,zuercherportal,2025-07-27,200,['portal']
Androscoggin,ME,ME,https://androscoggin-so-me.zuercherportal.com/#/,Androscoggin County ME Jail,androscoggin-so-me,zuercherportal,2025-07-27,200,['portal']
Franklin,ME,ME,https://franklin-so-me.zuercherportal.com/#/,Franklin County ME Jail,franklin-so-me,zuercherportal,2025-07-27,200,['portal']
